 ;  Método Crivo Quadrático  ;  ; 
n ; p ; q ; tempo (ms)
866423017 ; 8273 ; 104729 ; 5
3465918073 ; 16547 ; 209459 ; 4
13869217547 ; 418921 ; 33107 ; 88
55483066187 ; 66221 ; 837847 ; 99
221977905893 ; 1675697 ; 132469 ; 2536
887955112631 ; 3351419 ; 264949 ; 66147
3552016422607 ; 529927 ; 6702841 ; 8
14208111206759 ; 1059857 ; 13405687 ; 29
56832582493517 ; 2119717 ; 26811401 ; 328
227331223344527 ; 4239449 ; 53622823 ; 176
909326053603783 ; 8478907 ; 107245669 ; 27
3637310700952739 ; 214491379 ; 16957841 ; 431
14549251938038687 ; 428982787 ; 33915701 ; 472
58197015318036173 ; 857965597 ; 67831409 ; 44874
232788077122513919 ; 1715931197 ; 135662827 ; 1272
931152408828042151 ; 271325683 ; 3431862397 ; 212
3724609682111774107 ; 542651371 ; 6863724817 ; 710
14898439160950494379 ; 13727449691 ; 1085302769 ; 799
59593757046298386053 ; 2170605551 ; 27454899403 ; 1597
238375030391793864761 ; 4341211141 ; 54909798821 ; 359
953500122957521901259 ; 109819597663 ; 8682422293 ; 855
3814000495754967216211 ; 219639195337 ; 17364844603 ; 11515
15256001991494762493769 ; 439278390703 ; 34729689223 ; 3689
61024008007806264628549 ; 69459378491 ; 878556781439 ; 11702
244096032053110247686583 ; 1757113562947 ; 138918756989 ; 9221
976384128233458981252903 ; 277837513979 ; 3514227125957 ; 9122
3905536513242953167600069 ; 555675027997 ; 7028454251977 ; 37301
15622146053368019450847349 ; 1111350056021 ; 14056908503969 ; 29588
62488584213764450627263069 ; 2222700112049 ; 28113817007981 ; 62857
249954336855568296615420041 ; 56227634015963 ; 4445400224107 ; 17848
999817347425958507131263759 ; 112455268031999 ; 8890800448241 ; 135406
3999269389724638737723913741 ; 17781600896573 ; 224910536064017 ; 169298
15997077558910806809448491401 ; 449821072128037 ; 35563201793173 ; 127537
63988310235648415588352256041 ; 71126403586349 ; 899642144256109 ; 122199
255953240942623923432301679833 ; 142252807172713 ; 1799284288512241 ; 119634
1023812963770627618247303830883 ; 3598568577024503 ; 284505614345461 ; 702670
4095251855083172071611387252473 ; 569011228691011 ; 7197137154049043 ; 470673
16381007420333168311635639867191 ; 1138022457382051 ; 14394274308098141 ; 319689
65524029681332933267576293419631 ; 28788548616196333 ; 2276044914764107 ; 326914
262096118725333753317041786740549 ; 4552089829528243 ; 57577097232392743 ; 771645
1048384474901342041370414251618591 ; 9104179659056543 ; 115154194464785537 ; 3978355
4193537899605375468916947686195711 ; 230308388929571083 ; 18208359318113117 ; 3561989
16774151598421517185271616005153123 ; 460616777859142169 ; 36416718636226267 ; 5495427
67096606393686078853024397296485109 ; 921233555718284363 ; 72833437272452543 ; 5726932
268386425574744356288910047527460287 ; 1842467111436568741 ; 145666874544905107 ; 4291306
1073545702298977463272721930494852277 ; 3684934222873137499 ; 291333749089810223 ; 10293705
4294182809195909972788544942045422901 ; 582667498179620459 ; 7369868445746275039 ; 6122832
17176731236783642001867400867032947557 ; 1165334996359241051 ; 14739736891492550207 ; 7293988
68706924947134572906542827551450592543 ; 2330669992718482267 ; 29479473782985100429 ; 7255347
274827699788538295336431820373876163403 ; 58958947565970200933 ; 4661339985436964591 ; 23189218
1099310799154153186773227402054183817533 ; 9322679970873929227 ; 117917895131940401879 ; 139622110
4397243196616612752140720617456523862491 ; 235835790263880803839 ; 18645359941747858469 ; 135678760
17588972786466451014486009089333257181681 ; 471671580527761607723 ; 37290719883495716947 ; 120751278
70355891145865804074502940173645863426683 ; 943343161055523215453 ; 74581439766991433911 ; 164173935
281423564583463216367178202438683719013439 ; 149162879533982867857 ; 1886686322111046430927 ; 132622093
1125694258333852865729793296859773096070553 ; 298325759067965735779 ; 3773372644222092861907 ; 135594096
4502777033335411463040260923796853634261219 ; 7546745288444185723979 ; 596651518135931471561 ; 138462491
18011108133341645852651614660760119447851481 ; 1193303036271862943153 ; 15093490576888371447977 ; 149097807
72044432533366583411154539141936243051630497 ; 2386606072543725886307 ; 30186981153776742896171 ; 124348170
288177730133466333646643909808909849400077803 ; 60373962307553485792349 ; 4773212145087451772647 ; 475596387
1152710920533865334592718566482767995538513727 ; 120747924615106971584747 ; 9546424290174903545341 ; 164664161
